id,house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
673,"1 BHK House for Rent in Vidhana Soudha Layout, Kaveri Nagar Bangalore",Vidhana Soudha Layout,Bangalore,1000,1,1,0,Furnished,13,13000
674,1 BHK House for Rent in Hadapsar Pune,Hadapsar,Pune,650,1,1,0,Unfurnished,11,7000
675,"1 BHK Flat for Rent in Megapolis Saffron, Hinjawadi, Pune",Hinjewadi,Pune,4,1,1,0,Semi-Furnished,44,22000
676,"1 BHK Flat for Rent in Ajmera Greenfinity, Wadala East, Mumbai",Wadala East,Mumbai,100,1,1,0,Furnished,200,20000
677,"3 BHK Flat for Rent in Nirvan Apartment, Khar Danda, Mumbai",Khar Danda,Mumbai,1600,3,4,2,Furnished,97,160000
678,"3 BHK Flat for Rent in Mahendru Enclave, Gujranwala Town, Model Town, New Delhi",Gujranwala Town,New Delhi,2150,3,2,2,Unfurnished,21,45000
679,"2 BHK Flat for Rent in Moti Bagh, New Delhi",Moti Bagh,New Delhi,1100,2,2,0,Unfurnished,9,10000
680,"2 BHK Flat for Rent in Karia Konark Orchid, Wagholi, Pune",Wagholi,Pune,1279,2,2,0,Furnished,27,35000
681,2 BHK House for Rent in Byrathi Bangalore,Byrathi,Bangalore,1200,2,2,0,Unfurnished,12,14000
682,"2 BHK Flat for Rent in Mirchandani Palms, Rahatani, Pune",Rahatni,Pune,945,2,2,2,Furnished,37,35000
683,"2 BHK Flat for Rent in CV Raman Nagar, Bangalore",C V Raman Nagar,Bangalore,1090,2,2,0,Semi-Furnished,24,26000
684,"2 BHK Flat for Rent in Pride World City Kingsbury, Charholi BK, Pune",Charholi Budruk,Pune,1006,2,2,0,Unfurnished,25,25000
685,2 BHK House for Rent in Nangloi Jat New Delhi,Nangloi Jat,New Delhi,1100,2,3,0,Semi-Furnished,11,12000
686,"2 BHK Flat for Rent in Seegehalli Road, Bangalore",Seegehalli Road,Bangalore,1430,2,2,2,Unfurnished,21,30000
687,"2 BHK Flat for Rent in Optima Heights Phase 4, Wagholi, Pune",Wagholi,Pune,584,2,2,0,Unfurnished,28,16500
688,"2 BHK Flat for Rent in Tumkur Road, Bangalore",Tumkur Road,Bangalore,495,2,2,0,Furnished,26,13000
689,"1 BHK Flat for Rent in Sunteck Maxx World, Naigaon East, Mumbai",Naigaon East,Mumbai,406,1,2,0,Unfurnished,30,12000
690,"1 BHK Flat for Rent in Block B4 Safdarjung Enclave, New Delhi",Block B4 Safdarjung Enclave,New Delhi,500,1,1,0,Semi-Furnished,70,35000
691,"1 BHK Flat for Rent in Nilothi, New Delhi",Nilothi,New Delhi,450,1,1,0,Unfurnished,11,4800
692,"1 BHK Flat for Rent in GS 47th Avenue, Vikhroli East, Mumbai",Vikhroli East,Mumbai,400,1,2,2,Semi-Furnished,78,31000
693,"1 BHK House for Rent in Chinchwad, Pimpri Chinchwad Pune",Chinchwad,Pune,650,1,1,0,Unfurnished,22,14000
694,2 BHK House for Rent in RK Hegde Nagar Bangalore,Hegde Nagar,Bangalore,750,2,2,2,Unfurnished,19,14500
695,1 BHK House for Rent in Varthur Bangalore,Varthur,Bangalore,500,1,1,0,Semi-Furnished,19,9500
696,"3 BHK Flat for Rent in Shiv Kailasa, Mihan, Nagpur",Mihan,Nagpur,1000,3,3,2,Semi-Furnished,20,20000
697,"3 BHK Flat for Rent in Yelenahalli, Bangalore",Yelenahalli,Bangalore,1400,3,3,2,Semi-Furnished,46,63900
698,"1 BHK Flat for Rent in Nigdi, Pimpri Chinchwad, Pune",Nigdi,Pune,500,1,1,0,Semi-Furnished,30,15000
699,"3 BHK Flat for Rent in Sector 7 Dwarka, New Delhi",Sector 7 Dwarka,New Delhi,1300,3,2,3,Semi-Furnished,17,22000
700,"3 BHK Flat for Rent in Green View Apartments, Sector 9 Rohini, New Delhi",Sector 9 Rohini,New Delhi,1250,3,2,2,Semi-Furnished,34,42000
701,"1 BHK Flat for Rent in Phase 2 Budh Vihar, New Delhi",Budh Vihar Phase 2,New Delhi,500,1,1,0,Unfurnished,14,7200
702,"1 BHK Flat for Rent in Sukhsagar Nagar Katraj, Pune",Sukhsagar Nagar,Pune,550,1,1,0,Unfurnished,15,8500
703,"2 BHK House for Rent in Mcechs Layout, Jakkuru Bangalore",MCECHS Layout,Bangalore,900,2,2,0,Semi-Furnished,39,35000
704,"4 BHK Flat for Rent in Brahma Suncity Platinum, Kalyani Nagar, Pune",Kalyani Nagar,Pune,1300,4,4,3,Semi-Furnished,77,100000
705,"3 BHK Flat for Rent in Chattarpur, New Delhi",Chhattarpur,New Delhi,900,3,2,2,Semi-Furnished,23.33333333333333,21000
706,"1 BHK Flat for Rent in Kurla West, Mumbai",Kurla West,Mumbai,500,1,1,0,Unfurnished,12,6000
707,2 BHK House for Rent in Rajdhani Park New Delhi,Rajdhani Park,New Delhi,800,2,1,0,Unfurnished,9,7000
708,"3 BHK Flat for Rent in Bommanahalli, Bangalore",Bommanahalli,Bangalore,1600,3,2,2,Furnished,56,90000
709,1 BHK House for Rent in Fursungi Pune,Phursungi,Pune,470,1,1,0,Unfurnished,14,6500
710,3 BHK Villa for Rent in Atur Park Mumbai,Atur Park,Mumbai,1800,3,4,0,Semi-Furnished,83,150000
711,3 BHK House for Rent in Vignan Nagar Bangalore,Vignan Nagar,Bangalore,2000,3,3,2,Furnished,35,70000
712,"3 BHK Flat for Rent in Patel Nagar, New Delhi",Patel Nagar,New Delhi,630,3,2,0,Furnished,35,22000
713,"3 BHK Flat for Rent in Vile Parle East, Mumbai",Vile Parle East,Mumbai,1000,3,3,0,Unfurnished,110,110000
714,"2 BHK Flat for Rent in Abhijit Park, Dange Chowk Road, Pune",Dange Chowk,Pune,486,2,2,0,Unfurnished,47,23000
715,"2 BHK Flat for Rent in Thanisandra, Bangalore",Thanisandra,Bangalore,945,2,1,0,Semi-Furnished,19,18000
716,"1 BHK House for Rent in Yerawada, Airport Road Pune",Yerawada,Pune,300,1,1,0,Unfurnished,32,9500
717,"3 BHK Flat for Rent in Bellary Road, Bangalore",Bellary Road,Bangalore,2636,3,4,2,Unfurnished,19,50000
718,"2 BHK Flat for Rent in Chikkakannalli, Bangalore",Chikkakannalli,Bangalore,1100,2,2,0,Furnished,55,60000
719,"1 BHK Flat for Rent in Ashoka Palace CHS, Bachani Nagar, Mumbai",Bachani Nagar,Mumbai,440,1,1,0,Semi-Furnished,59,26000
720,"3 BHK Flat for Rent in Neptune Flying Kite, Bhandup West, Mumbai",Bhandup West,Mumbai,1060,3,3,0,Unfurnished,57,60000
721,"3 BHK Flat for Rent in Bommasandra, Bangalore",Bommasandra,Bangalore,1050,3,2,3,Semi-Furnished,19,20000
722,2 BHK House for Rent in Sector 13 Dwarka New Delhi,Sector 13 Dwarka,New Delhi,1000,2,2,2,Furnished,18,18000
723,1 BHK House for Rent in Dwarka Mor New Delhi,Dwarka Mor,New Delhi,225,1,1,0,Semi-Furnished,22,5000
724,3 BHK House for Rent in Jorbagh Tri Nagar New Delhi,Jorbagh Tri Nagar,New Delhi,2400,3,2,2,Semi-Furnished,104,250000
725,"1 BHK Flat for Rent in Sunteck Maxx World, Citizen Colony, Mumbai",Citizen Colony,Mumbai,420,1,1,0,Semi-Furnished,26,11000
726,"2 BHK Flat for Rent in Raheja Ascencio, Raheja Vihar, Mumbai",Raheja Vihar,Mumbai,828,2,2,0,Furnished,99,82000
727,"2 BHK Flat for Rent in Bloomdale, Mihan, Nagpur",Mihan,Nagpur,807,2,2,2,Furnished,43,35000
728,"2 BHK Flat for Rent in Shubh Aaugusta, Kharadi, Pune",Kharadi,Pune,985,2,2,2,Unfurnished,44,43000
729,"2 BHK Flat for Rent in Saket, New Delhi",Saket,New Delhi,800,2,1,0,Semi-Furnished,34,27000
730,"3 BHK Flat for Rent in Samethanahalli, Bangalore",Samethanahalli,Bangalore,2000,3,3,3,Semi-Furnished,48,95000
731,"3 BHK Flat for Rent in DDA Yamuna Apartment, Alaknanda, New Delhi",Alaknanda,New Delhi,1450,3,2,0,Semi-Furnished,38,55000
732,"2 BHK Flat for Rent in Shiv Kailasa, Mihan, Nagpur",Mihan,Nagpur,1264,2,2,3,Furnished,15,19000
733,"2 BHK Flat for Rent in Chandapura, Bangalore",Chandapura,Bangalore,1034,2,2,2,Furnished,21,22000
734,"3 BHK Flat for Rent in Pride Platinum, Pan Card Club Road, Pune",Pan Card Club Road,Pune,1053,3,2,0,Furnished,59,62000
735,"1 BHK Flat for Rent in Mulund West, Mumbai",Mulund West,Mumbai,290,1,1,0,Furnished,26,7500
736,1 BHK House for Rent in Sarjapur Road Bangalore,Sarjapur Road,Bangalore,300,1,1,0,Furnished,60,18000
737,"2 BHK Flat for Rent in Manish Darshan, Fatima Nagar Wanowrie, Pune",Fatima Nagar,Pune,550,2,1,0,Semi-Furnished,25,14000
738,"3 BHK Flat for Rent in Mulund West, Mumbai",Mulund West,Mumbai,927,3,3,0,Unfurnished,81,75000
739,"2 BHK Flat for Rent in Besa, Nagpur",Besa,Nagpur,1250,2,2,0,Unfurnished,8,10000
740,"2 BHK Flat for Rent in Akurdi Chikhali Road, Pune",Akurdi Chikhali Road,Pune,700,2,2,2,Furnished,30,21000
741,"2 BHK Flat for Rent in Mundka, New Delhi",Mundka,New Delhi,500,2,1,0,Semi-Furnished,14,7000
742,1 BHK House for Rent in Sector 2 HSR Layout Bangalore,Sector 2 HSR Layout,Bangalore,700,1,1,0,Semi-Furnished,31,22000
743,2 BHK House for Rent in Kannamangala Bangalore,Kannamangala,Bangalore,900,2,2,0,Semi-Furnished,14,13000
744,"2 BHK Flat for Rent in Rajpur Khurd Extention Colony, Chattarpur, New Delhi",Chhattarpur,New Delhi,825,2,2,2,Semi-Furnished,22,18000
745,"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bangalore,1400,3,3,3,Semi-Furnished,39,55000
746,2 BHK House for Rent in Sathanur Bangalore,Sathanur,Bangalore,1000,2,2,0,Semi-Furnished,16,16000
747,"> 10 BHK Flat for Rent in Lakkasandra Extension, Wilson Garden, Bangalore",Lakkasandra Extension,Bangalore,5000,10,0,4,Furnished,36,180000
748,"3 BHK Flat for Rent in Sion, Mumbai",Sion,Mumbai,1400,3,3,0,Furnished,89,130000
749,"2 BHK Flat for Rent in Thanisandra, Bangalore",Thanisandra,Bangalore,1010,2,2,3,Semi-Furnished,32,32000
750,"2 BHK House for Rent in Kanchan Vrundavan, Uruli Kanchan Pune",Uruli Kanchan,Pune,817,2,2,2,Unfurnished,10,8000
751,"1 BHK Flat for Rent in Dynamic Oasis, Undri, Pune",Undri,Pune,500,1,1,0,Unfurnished,21,10500
752,1 BHK House for Rent in Karol Bagh New Delhi,Karol Bagh,New Delhi,675,1,1,0,Semi-Furnished,40,27000
753,"1 BHK Flat for Rent in Godrej Prana, Undri, Pune",Undri,Pune,450,1,1,0,Unfurnished,40,18000
754,"2 BHK Flat for Rent in Sheth Vasant Utsav, Thakur Village, Kandivali East, Mumbai",Thakur Village,Mumbai,865,2,2,0,Furnished,81,70000
755,"1 BHK Flat for Rent in Alandi, Kelgaon, Pune",Alandi,Pune,510,1,2,0,Unfurnished,16,8000
756,"1 BHK Flat for Rent in Hardev Nagar, Burari, New Delhi",Hardev Nagar,New Delhi,300,1,1,0,Semi-Furnished,20,6000
757,"1 BHK Flat for Rent in Sai Om S HH Residency, Bhandup West, Mumbai",Bhandup West,Mumbai,450,1,1,0,Furnished,78,35000
758,"3 BHK Flat for Rent in Kumar Sophronia, Kalyani Nagar, Pune",Kalyani Nagar,Pune,1503,3,3,0,Unfurnished,45,68000
759,"3 BHK Flat for Rent in Lodha Gardenia, Wadala, Mumbai",Wadala,Mumbai,1320,3,4,5,Unfurnished,138,180000
760,"1 BHK Flat for Rent in Mira Road Area, Mumbai",Mira Road,Mumbai,400,1,1,0,Furnished,33,13000
761,2 BHK House for Rent in Doddakannelli Bangalore,Doddakannelli,Bangalore,1250,2,2,0,Semi-Furnished,30,38000
762,"3 BHK Flat for Rent in VTP Solitaire , Baner, Pune",Baner,Pune,1100,3,3,2,Semi-Furnished,33,36000
763,"2 BHK Flat for Rent in Yashada Supreme, Dudulgaon, Alandi, Pune",Dudulgaon,Pune,659,2,2,0,Unfurnished,27,18000
764,"2 BHK Flat for Rent in Monte Rosa, Hingne Khurd, Pune",Hingne Khurd,Pune,853,2,2,3,Semi-Furnished,41,35000
765,"2 BHK Flat for Rent in Shree Ganesh, Kurla East, Mumbai",Kurla East,Mumbai,650,2,2,0,Furnished,85,55000
766,2 BHK House for Rent in Manjunatha Nagar Kalkere Bangalore,Manjunatha Nagar Kalkere,Bangalore,1200,2,2,0,Semi-Furnished,25,30000
767,"1 BHK Flat for Rent in Kohat Enclave, New Delhi",Kohat Enclave,New Delhi,600,1,1,0,Furnished,12,7000
768,1 BHK House for Rent in Kalewadi Phata Pimpri Colony Pune,Kalewadi Phata,Pune,350,1,1,0,Unfurnished,21,7500
769,1 BHK House for Rent in Gokhalenagar Pune,Gokhale Nagar,Pune,750,1,1,0,Unfurnished,15,11000
770,"2 BHK Flat for Rent in Jakkur, Bangalore",Jakkur,Bangalore,1200,2,3,0,Semi-Furnished,27,32000
771,"4 BHK Flat for Rent in Hauz Khas Enclave, Hauz Khas, New Delhi",Hauz Khas Enclave,New Delhi,3100,4,4,4,Unfurnished,89,280000
772,2 BHK House for Rent in Nangloi New Delhi,Nangloi,New Delhi,450,2,1,0,Unfurnished,14,6500
773,"3 BHK Flat for Rent in RWA GK 2, Greater Kailash 2, New Delhi",GK II,New Delhi,2500,3,3,0,Semi-Furnished,26,65000
774,2 BHK House for Rent in Powai Mumbai,Powai,Mumbai,600,2,2,0,Semi-Furnished,50,30000
775,"2 BHK Flat for Rent in Green Park, New Delhi",Green Park,New Delhi,1100,2,2,2,Unfurnished,50,55000
776,"2 BHK Flat for Rent in Bandra, Mumbai",Bandra,Mumbai,850,2,2,2,Unfurnished,159,140000
777,"2 BHK Flat for Rent in Kalkaji, New Delhi",Kalkaji,New Delhi,810,2,2,2,Unfurnished,59,48000
778,"4 BHK Flat for Rent in DB Woods, Goregaon East, Mumbai",Goregaon East,Mumbai,1765,4,4,0,Unfurnished,108,190000
779,"2 BHK Flat for Rent in Ravi Park, Hadapsar, Pune",Hadapsar,Pune,1000,2,2,0,Unfurnished,22,22000
780,"3 BHK Flat for Rent in Kundalahalli, Brookefield, Bangalore",Kundalahalli,Bangalore,1388,3,3,2,Semi-Furnished,43,60000
781,"2 BHK Flat for Rent in Pimple Saudagar, Pimpri Chinchwad, Pune",Pimple Saudagar,Pune,800,2,2,0,Semi-Furnished,32,26000
782,"2 BHK Flat for Rent in Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",Hinjewadi Phase 3,Pune,650,2,2,0,Furnished,46,30000
783,1 BHK House for Rent in Kharadi Pune,Kharadi,Pune,350,1,1,0,Unfurnished,34,12000
784,"1 BHK Flat for Rent in Viman Nagar, Pune",Viman Nagar Central,Pune,500,1,1,0,Semi-Furnished,40,20000
785,"1 BHK Flat for Rent in Blue Ridge, Hinjawadi, Pune",Hinjewadi,Pune,455,1,1,0,Furnished,57,26000
786,"2 BHK Flat for Rent in Rhcs Layout, Sunkadakatte, Bangalore",RHCS Layout,Bangalore,600,2,1,0,Semi-Furnished,13,8000
787,"3 BHK Flat for Rent in Nahar Amrit Shakti powai, Chandivali, Mumbai",Chandivali,Mumbai,850,3,2,0,Unfurnished,118,100000
788,"2 BHK Flat for Rent in Mohammad wadi, NIBM Road, Pune",NIBM Road,Pune,825,2,2,2,Semi-Furnished,28,23000
789,"2 BHK Flat for Rent in Alfa Landmark, Wagholi, Pune",Wagholi,Pune,784,2,2,2,Semi-Furnished,22,17000
790,"2 BHK Flat for Rent in Megapolis Springs Phase 3, Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",Hinjewadi Phase 3,Pune,650,2,2,0,Furnished,49,32000
791,"3 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,1345,3,3,3,Semi-Furnished,52,70000
792,"1 BHK Flat for Rent in Neumec Elegance, Lower Parel, Mumbai",Lower Parel,Mumbai,754,1,2,3,Unfurnished,106,80000
793,"1 BHK Flat for Rent in Ramesh Nagar, New Delhi",Ramesh Nagar,New Delhi,50,1,1,2,Semi-Furnished,340,17000
794,4 BHK Villa for Rent in Krishnarajapura Bangalore,KR Puram,Bangalore,2888,4,4,3,Semi-Furnished,35,100000
795,"1 BHK Flat for Rent in Omkar Signet, Malad East, Mumbai",Malad East,Mumbai,432,1,2,0,Semi-Furnished,93,40000
796,"1 BHK Flat for Rent in Prem Nagar Janakpuri, New Delhi",Prem Nagar Janakpuri,New Delhi,450,1,1,2,Unfurnished,31,14000
797,1 BHK House for Rent in Shivaji Park Punjabi Bagh New Delhi,Shivaji Park,New Delhi,150,1,1,0,Semi-Furnished,100,15000
798,"3 BHK Flat for Rent in Nirmal Society, Manish Nagar, Nagpur",Manish Nagar,Nagpur,900,3,2,2,Semi-Furnished,17,15000
799,"3 BHK Flat for Rent in Undri, Pune",Undri,Pune,1600,3,3,2,Semi-Furnished,14,22000
800,"1 BHK Flat for Rent in Mulund Shree Siddhi Apartment, Mulund West, Mumbai",Mulund West,Mumbai,450,1,1,0,Unfurnished,60,27000
801,2 BHK House for Rent in Bilekahalli Bangalore,Bilekahalli,Bangalore,950,2,2,0,Semi-Furnished,29,28000
802,"3 BHK Flat for Rent in Defence Enclave, Bangalore",Defence Enclave,Bangalore,1560,3,3,2,Semi-Furnished,28,43000
803,"2 BHK Flat for Rent in Chembur, Mumbai",Chembur,Mumbai,715,2,2,0,Semi-Furnished,84,60000
804,"2 BHK Flat for Rent in Transit Camp, Kakrola, New Delhi",Transit Camp,New Delhi,612,2,1,0,Semi-Furnished,20,12000
805,"3 BHK Flat for Rent in Begur Hulimavu Road, Bangalore",Begur Hulimavu Road,Bangalore,1450,3,2,3,Furnished,22,32000
806,"1 BHK Flat for Rent in Mahavir Nagar CHS, Sinhgad Road, Pune",Sinhgad Road,Pune,480,1,1,0,Unfurnished,25,12000
807,"2 BHK Flat for Rent in Yoo Pune, Magarpatta, Pune",Magarpatta City,Pune,1600,2,2,0,Semi-Furnished,125,200000
808,"3 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1150,3,3,2,Semi-Furnished,35,40000
809,"3 BHK Flat for Rent in Rana Pratap Bagh, Ashok Vihar North, New Delhi",Rana Pratap Bagh,New Delhi,1400,3,3,0,Unfurnished,32,45000
810,"1 BHK Flat for Rent in Mira Road, Mumbai",Mira Road,Mumbai,446,1,2,0,Semi-Furnished,67,30000
811,"1 BHK Flat for Rent in Chinchpokli, Mumbai",Chinchpokli,Mumbai,300,1,1,0,Unfurnished,83,25000
812,"2 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1051,2,2,0,Semi-Furnished,42,44000
813,"3 BHK Flat for Rent in Manish Nagar, Nagpur",Manish Nagar,Nagpur,1120,3,3,3,Semi-Furnished,16,18000
814,3 BHK House for Rent in Adarsh Colony Tingre Nagar Pune,Adarsh Colony Tingre Nagar,Pune,1150,3,2,0,Unfurnished,26,30000
815,"3 BHK Flat for Rent in Vile Parle East, Mumbai",Vile Parle East,Mumbai,1100,3,3,0,Unfurnished,114,130000
816,"2 BHK Flat for Rent in Maharaja Surajmal Apartment, Andheri West, Mumbai",Andheri West,Mumbai,750,2,2,0,Furnished,88,66000
817,"2 BHK Flat for Rent in Orlem, Mumbai",Orlem,Mumbai,645,2,2,0,Unfurnished,67,43000
818,"3 BHK Flat for Rent in Krishna Apartment, Shalimar bagh, New Delhi",Shalimar bagh,New Delhi,900,3,2,2,Unfurnished,18,16500
819,"2 BHK Flat for Rent in Subs Nagar, Chikkajala, Bangalore-Hyderabad Hwy, Bangalore",Subs Nagar,Bangalore,802,2,2,2,Semi-Furnished,37,30000
820,"2 BHK Flat for Rent in Hinjawadi, Pune",Hinjewadi,Pune,720,2,2,0,Semi-Furnished,31,22000
821,2 BHK House for Rent in Kotwal Nagar Nagpur,Kotwal Nagar,Nagpur,750,2,2,0,Unfurnished,23,17000
822,"2 BHK Flat for Rent in Sector 1 Dwarka, New Delhi",Sector 1 Dwarka,New Delhi,9,2,2,2,Semi-Furnished,37,36000
823,"2 BHK Flat for Rent in Chattarpur, New Delhi",Chhattarpur,New Delhi,585,2,1,0,Furnished,34.22222222222222,20000
824,"2 BHK Flat for Rent in Kempegowda International Airport Road, Bangalore",New International Airport Road,Bangalore,1000,2,1,2,Semi-Furnished,30,30000
825,"2 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1248,2,2,2,Unfurnished,24,30000
826,"2 BHK Flat for Rent in Krishna Nagar, New Delhi",Krishna Nagar,New Delhi,900,2,2,0,Unfurnished,30,27000
827,"2 BHK Flat for Rent in Eucres Building, Wadala, Mumbai",Wadala,Mumbai,760,2,2,0,Unfurnished,66,50000
828,1 BHK House for Rent in Prem Nagar Najafgarh New Delhi,Prem Nagar Najafgarh,New Delhi,380,1,1,0,Unfurnished,18,7000
829,1 BHK House for Rent in Hongasandra Bangalore,Hongasandra,Bangalore,500,1,1,0,Unfurnished,11,5500
830,"4 BHK Flat for Rent in Eon Waterfront, Kharadi, Pune",Kharadi,Pune,3100,4,5,2,Unfurnished,40,130000
831,"2 BHK Flat for Rent in Dehu Road, Pune",Dehu Road,Pune,1100,2,2,2,Semi-Furnished,15,17000
832,"2 BHK Flat for Rent in K Mehta Shree Rasraj Tower, Borivali West, Mumbai",Borivali West,Mumbai,700,2,2,3,Unfurnished,93,65000
833,"2 BHK Flat for Rent in Puranik Abitante, Bavdhan, Pune",Bavdhan,Pune,1150,2,2,0,Furnished,26,30000
834,"2 BHK Flat for Rent in Godrej Boulevard, Manjri, Manjri Budruk, Pune",Manjri,Pune,691,2,2,2,Semi-Furnished,29,19900
835,"4 BHK Flat for Rent in Shanti Niketan, New Delhi",Shanti Niketan,New Delhi,5400,4,4,4,Semi-Furnished,37,200000
836,"3 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bangalore,1518,3,3,2,Furnished,26,40000
837,"2 BHK Flat for Rent in Sethia Kalpavruksh Heights, Irani Wadi, Mumbai",Irani Wadi,Mumbai,1060,2,2,4,Unfurnished,33,35000
838,"3 BHK Flat for Rent in Mahavir Apartment, Sector 22 Dwarka, New Delhi",Sector 22 Dwarka,New Delhi,1400,3,2,2,Semi-Furnished,29,40000
839,1 BHK House for Rent in Mayur Vihar 1 New Delhi,Mayur Vihar 1,New Delhi,360,1,1,0,Unfurnished,18,6500
840,"1 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,550,1,1,0,Unfurnished,47,26000
841,"3 BHK Flat for Rent in Bannerughatta, Bangalore",Bannerghatta,Bangalore,1600,3,3,2,Semi-Furnished,44,70000
842,"3 BHK Flat for Rent in Laxmi Nagar, Nagpur",Laxmi Nagar,Nagpur,1350,3,3,0,Semi-Furnished,24,32000
843,"3 BHK Flat for Rent in East Of Kailash, New Delhi",East Of Kailash,New Delhi,2000,3,3,3,Unfurnished,75,150000
844,"2 BHK Flat for Rent in Besa, Nagpur",Besa,Nagpur,960,2,2,0,Semi-Furnished,10,10000
845,1 BHK House for Rent in Rameshwari Nagpur,Rameshwari,Nagpur,450,1,1,0,Unfurnished,28,12500
846,"1 BHK Flat for Rent in Satyam Tower, Nala Sopara, Mumbai",Nala Sopara,Mumbai,360,1,1,3,Unfurnished,22,8000
847,"3 BHK Flat for Rent in Marvel Zephyr, Kharadi, Pune",Kharadi,Pune,4000,3,4,2,Furnished,19,75000
848,"1 BHK House for Rent in Mauli Nagar 5, Bel Tarodi Nagpur",Bel Tarodi,Nagpur,800,1,1,0,Semi-Furnished,13,10500
849,2 BHK House for Rent in Whitefield Bangalore,Whitefield,Bangalore,700,2,2,0,Furnished,21,15000
850,"3 BHK Flat for Rent in Godrej RKS, Chembur, Mumbai",Chembur,Mumbai,1600,3,3,0,Semi-Furnished,100,160000
851,"3 BHK Flat for Rent in Old Rajinder Nagar, New Delhi",Old Rajendra Nagar,New Delhi,900,3,3,3,Furnished,50,45000
852,"3 BHK Flat for Rent in Mahavirnagar, Kandivali West, Mumbai",Kandivali West,Mumbai,1250,3,3,0,Furnished,72,90000
853,1 BHK House for Rent in Sant Nagar Burari New Delhi,St Nagar Burari,New Delhi,480,1,2,0,Unfurnished,17,8000
854,"2 BHK Flat for Rent in Azadpur, Ring Road, New Delhi",Azadpur,New Delhi,1080,2,2,0,Semi-Furnished,19,20000
855,"1 BHK Flat for Rent in Mahim West, Mumbai",Mahim West,Mumbai,500,1,1,0,Unfurnished,90,45000
856,"2 BHK House for Rent in Chinchwad, Pimpri Chinchwad Pune",Chinchwad,Pune,1000,2,2,0,Semi-Furnished,15,15000
857,"2 BHK Flat for Rent in Kanakapura Road, Bangalore",Kanakapura Road,Bangalore,1230,2,2,0,Unfurnished,41,50000
858,"1 BHK Flat for Rent in Magarpatta City Zinnia, Hadapsar, Pune",Hadapsar,Pune,600,1,1,0,Furnished,43,26000
859,"1 BHK Flat for Rent in Cozy Homes, Wagholi, Pune",Wagholi,Pune,550,1,2,2,Furnished,25,14000
860,"2 BHK Flat for Rent in Manish Nagar, Manish Nagar, Nagpur",Manish Nagar,Nagpur,1100,2,2,3,Semi-Furnished,15,16000
861,"2 BHK Flat for Rent in Raheja Heights, Malad East, Mumbai",Malad East,Mumbai,719,2,2,2,Unfurnished,97,70000
862,"2 BHK Flat for Rent in VTP Leonara, Mahalunge, Pune",Mahalunge,Pune,805,2,2,2,Semi-Furnished,31,25000
863,1 BHK House for Rent in Azad Nagar Wanowrie Pune,Azad Nagar Wanowrie,Pune,500,1,1,0,Unfurnished,16,8000
864,2 BHK House for Rent in Wardha Road Nagpur,Wardha Road,Nagpur,1200,2,2,0,Furnished,18,21000
865,"3 BHK Flat for Rent in Seegehalli, Bangalore",Seegehalli,Bangalore,1900,3,3,2,Furnished,39,75000
866,"3 BHK Flat for Rent in Shiv Karan, Versova Andheri West, Mumbai",Versova,Mumbai,1300,3,3,0,Furnished,123,160000
867,2 BHK House for Rent in Yamuna Vihar New Delhi,Yamuna Vihar,New Delhi,890,2,1,0,Unfurnished,17,15000
868,1 BHK House for Rent in Chandapura Bangalore,Chandapura,Bangalore,300,1,1,0,Unfurnished,18,5500
869,"2 BHK Flat for Rent in Madhuban Apartment, Andheri West, Mumbai",Andheri West,Mumbai,900,2,2,0,Furnished,144,130000
870,"2 BHK Flat for Rent in Mehrawali Apartment, Mehrauli, New Delhi",Mehrauli,New Delhi,713,2,2,0,Unfurnished,21,15000
871,"4 BHK Flat for Rent in Rustomjee Seasons, Bandra East, Mumbai",Bandra East,Mumbai,1950,4,6,0,Semi-Furnished,205,400000
872,"3 BHK Flat for Rent in Goregaon West, Mumbai",Goregaon West,Mumbai,1000,3,3,0,Unfurnished,75,75000
873,"3 BHK Flat for Rent in DDA Flats Sarita Vihar, Pocket H Sarita Vihar, New Delhi",Sarita Vihar Pocket H,New Delhi,1600,3,3,2,Furnished,41,65000
874,"2 BHK Flat for Rent in Oasis CHS Ltd, Amboli, Mumbai",Amboli,Mumbai,650,2,1,0,Unfurnished,46,30000
875,"2 BHK Flat for Rent in Green park extension, Green Park, New Delhi",Green Park,New Delhi,1350,2,2,2,Unfurnished,39,52000
876,3 BHK House for Rent in Kamgar Nagar Prabhadevi Mumbai,Kamgar Nagar Prabhadevi,Mumbai,1300,3,3,0,Semi-Furnished,138,180000
877,"2 BHK Flat for Rent in Goregaon East, Mumbai",Goregaon East,Mumbai,900,2,2,0,Semi-Furnished,43,39000
